name,count,words
менеджер,2221,"МЕНЕДЖЕР, менеджера, Менеджер, менеджер, Менеджера"
инженер,1885,"Инженер, Инженера, инженер, инженера, ИНЖЕНЕР, инженерии"
продавец,1732,"продавец, Продавец, ПРОДАВЕЦ"
экономист,1603,"Экономист, экономист, экономиста, ЭКОНОМИСТ"
бухгалтер,1217,"Бухгалтер, бухгалтерии, БУХГАЛТЕР, Бухгалтера, бухгалтера, бухгалтер, БУХГАЛТЕРА, Бухгалтерия"
техник,1191,"технике, Техника, Техники, ТЕХНИКИ, техник, техника, Техник, техники, ТЕХНИК"
кассир,966,"кассира, кассир, КАССИР, Кассир"
оператор,922,"операторами, оператора, Оператора, оператор, ОПЕРАТОР, Оператор"
водител,852,"водителей, водителя, ВОДИТЕЛЬ, водитель, Водителей, Водитель"
юрист,804,"юрист, Юрист, юриста, Юриста, ЮРИСТ"
учител,695,"Учительь, учитель, УЧИТЕЛЬ, Учитель"
слесар,645,"Слесар, СЛЕСАРЬ, Слесарь, слесарь, Слесарем, слесарем, слесарей, слесаря"
повар,617,"повар, ПОВАР, Повар, повара"
машинист,597,"машинист, Машинистом, МАШИНИСТ, Машиниста, машиниста, Машинист"
директор,552,"ДИРЕКТОР, ДИРЕКТОРА, директор, Директор, Директора, директора"
администратор,453,"АДМИНИСТРАТОР, Администратора, администратор, Администратор, администратора"
воспитател,430,"Воспитатель, воспитателя, воспитатель, ВОСПИТАТЕЛЯ, ВОСПИТАТЕЛЬ"
преподавател,341,"ПРЕПОДАВАТЕЛЬ, преподавателям, Преподаватель, преподавателя, преподаватель"
механик,334,"МЕХАНИК, Механика, Механик, механик, механика"
психолог,328,"психология, Психолог, психолог, ПСИХОЛОГИИ, психологии, Психологии, ПСИХОЛОГ, Психология"
контролер,269,"Контролёра, Контролер, КОНТРОЛЁР, Контролёр, контролер, контролера, контролёр, КОНТРОЛЕР"
инспектор,252,"Инспектор, инспектор, инспектора, ИНСПЕКТОРА, ИНСПЕКТОР"
педагог,237,"педагога, педагог, ПЕДАГОГ, Педагог"
секретар,228,"секретарь, СЕКРЕТАРЯ, секретаря, Секретарь"
уборщик,223,"Уборщик, уборщики, УБОРЩИК, уборщик, уборщика"
охранник,220,"охранника, охранник, Охранник, ОХРАННИК"
кладовщик,216,"кладовщик, КЛАДОВЩИК, Кладовщик, кладовщика"
тракторист,215,"Тракториста, тракторист, ТРАКТОРИСТ, Тракторист"
монтажник,205,"МОНТАЖНИК, Монтажник, монтажник"
кондитер,202,"кондитер, КОНДИТЕР, Кондитер"
сторож,184,"СТОРОЖ, Сторож, сторож, сторожем"
электромонтер,181,"электромонтера, ЭЛЕКТРОМОНТЕР, Электромонтёром, Электромонтер, электромонтёр, электромонтер, Электромонтёр"
кочегар,166,"кочегар, КОЧЕГАР, Кочегар"
врач,164,"Врач, врача, ВРАЧ, врач"
товаровед,155,"Товаровед, товаровед, ТОВАРОВЕД"
